Country,Population,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Revovered,Active Cases,"Serious, Critical Cases",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop
World,,406944092,638463,5810434,2654,327036011,915688,74097647,89283,52207,745.4,,
USA,334125343,79052681,,"939,427 ",,49435538,,28677716,17454,236596,2812,923990953,2765402
India,1401828285,42536137,,"507,208 ",,41331158,,697771,8944,30343,362,747870047,533496
Brazil,214990157,27125512,,"636,111 ",,23446849,,3042552,8318,126171,2959,63776166,296647
France,65505907,21372278,,"134,207 ",,16256611,389010,4981460,3622,326265,2049,238632994,3642923
UK,68459737,18162199,,"159,158 ",,15681335,,2321706,430,265298,2325,463984342,6777478
Russia,146035150,13731794,203949,"338,813 ",722,11021633,112236,2371348,2300,94031,2320,263100000,1801621
Turkey,85798778,12653276,,"89,741 ",,11755917,,807618,1128,147476,1046,135764979,1582365
Italy,60318767,11923631,,"150,221 ",,9960136,,1813274,1322,197677,2490,178984246,2967306
Germany,84214984,11897002,,"120,196 ",,8597300,110200,3179506,2274,141269,1427,89622218,1064208
Spain,46783917,10555196,,"95,606 ",,7264623,,3194967,1633,225616,2044,66213858,1415312
Argentina,45862896,8700437,,"123,707 ",,8327294,,249436,2321,189705,2697,33323292,726585
Iran,85721929,6730608,,"133,294 ",,6238083,,359231,3097,78517,1555,45505835,530854
Colombia,51755223,6002570,,"136,583 ",,5804357,,61630,342,115980,2639,32629729,630463
Netherlands,17195874,5523354,,"21,358 ",,3378718,,2123278,209,321202,1242,21107399,1227469
Poland,37779912,5313111,,"107,466 ",,4451403,,754242,1169,140633,2845,31998267,846965
Mexico,131111616,5226269,34261,"311,554 ",927,4438581,32886,476134,4798,39861,2376,14549132,110968
Indonesia,278175825,4667554,,"144,858 ",,4234510,,288186,1365,16779,521,76138437,273706
Ukraine,43310964,4462970,41229,"102,403 ",236,3750826,20850,609741,177,103045,2364,18920897,436862
Japan,125853436,3666285,100097,"19,917 ",175,2752551,77682,893817,1340,29131,158,35940071,285571
South Africa,60511300,3634811,,"96,705 ",,3494016,,44090,546,60068,1598,22591175,373338
Philippines,111926629,3630637,3788,"54,854 ",72,3484636,5652,91147,312,32438,490,27659085,247118
Belgium,11670774,3405839,19616,"29,563 ",66,2257035,17842,1119241,430,291826,2533,30979065,2654414
Peru,33710472,3397637,,"207,536 ",,N/A,N/A,N/A,1365,100789,6156,26171623,776365
Czechia,10740948,3363053,22663,"37,712 ",25,2987052,425,338289,246,313106,3511,51551526,4799532
Israel,"9,326,000 ",3347657,,"9,399 ",,3011502,,326756,1159,358960,1008,41373364,4436346
Canada,38274470,3170550,,"35,231 ",,2988622,,146697,1140,82837,920,57195710,1494357
Portugal,10148868,3025421,,"20,401 ",,2388235,,616785,168,298104,2010,33409187,3291913
Malaysia,33032916,2975422,,"32,075 ",,2835464,,107883,158,90074,971,45749772,1384975
Australia,25975746,2855375,29853,"4,482 ",51,2630809,,220084,261,109925,173,62160348,2393015
